%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
"Pqwwo qfp qwfnbv qozdvie.  Ppqow poqw fvzxc ioplhjk."	"Pqwwo qfp qwfnbv qozdvie.  Ppqow poqw fvzxc ioplhjk."
"Qufe weax zxo zvp zvqiw vpozcvajpbnv wf, apoz.  Wfipa?"	"Qufe weax zxo zvp zvqiw vpozcvajpbnv wf, apoz.  Wfipa?"
"Zxxz pofqsoo afpoistr zxcv."	"Zxxz pofqsoo afpoistr zxcv."
You are outside an all-night convenience store. There is a telephone on the pole. The portion of the telephone book that wasn't illegible from being water-soaked has been torn out.	You are outside an all-night convenience store. There is a telephone on the pole. The portion of the telephone book that wasn't illegible from being water-soaked has been torn out.
"Slurp. Thanks, I needed that! See ya 'round!!"	"Slurp. Thanks, I needed that! See ya 'round!!"
"Hello, you have reached the National Hot Line Sex Survey. Please answer the following questions. There may be a wonderful prize waiting for you!!"	"Hello, you have reached the National Hot Line Sex Survey. Please answer the following questions. There may be a wonderful prize waiting for you!!"
"What is the name of your favorite sex partner?"	"What is the name of your favorite sex partner?"
"What's the best part of your partner's anatomy?"	"What's the best part of your partner's anatomy?"
"What do the two of you like to do together?"	"What do the two of you like to do together?"
"What is the best part of your body?"	"What is the best part of your body?"
"And, finally, name your partner's favorite object."	"And, finally, name your partner's favorite object."
"Thanks for participating. Your prize is..."	"Thanks for participating. Your prize is..."
            \n\n\n	            \n\n\n
Hum. Looks like they hung up on you. Oh, well. It was probably a bummer prize anyway!	Hum. Looks like they hung up on you. Oh, well. It was probably a bummer prize anyway!
Where?!	Where?!
"Ring."	"Ring."
"Ring ring."	"Ring ring."
"Ring ring ring."	"Ring ring ring."
"Ring ring ring ring."	"Ring ring ring ring."
How long are we going to do this before you type in "answer phone?!"	How long are we going to do this before you type in "answer phone?!"
You pick up the telephone, and hear a woman's voice.	You pick up the telephone, and hear a woman's voice.
"Hello, Larry! This is %s6. Why don't you forget this silly game, and come over to my place so we can %s8?"	"Hello, Larry! This is %s6. Why don't you forget this silly game, and come over to my place so we can %s8?"
"After all, your %s9 has always turned me on! So bring along a %s10 and come play with my %s7! Bye, now."	"After all, your %s9 has always turned me on! So bring along a %s10 and come play with my %s7! Bye, now."
You hang up the telephone and wipe the sweat from your hands!	You hang up the telephone and wipe the sweat from your hands!
There are some numbers scribbled on the side of the telephone. The only thing legible (and printable) is: "555-6969."	There are some numbers scribbled on the side of the telephone. The only thing legible (and printable) is: "555-6969."
"Howsha 'bout a drink, Shonney?"	"Howsha 'bout a drink, Shonney?"
"Why, thanshk, Shonney!" (Glug, glug.)	"Why, thanshk, Shonney!" (Glug, glug.)
"I ain't got no remote control, but, sssshay, I'll tell ya what: here'ssh my trussshty ol' pocket knife. Ya never know! There are sssshome kinky girlssh in this town. Sssshexy hunkssh like ussh might have to defend oursshelves sometime!"	"I ain't got no remote control, but, sssshay, I'll tell ya what: here'ssh my trussshty ol' pocket knife. Ya never know! There are sssshome kinky girlssh in this town. Sssshexy hunkssh like ussh might have to defend oursshelves sometime!"
With that, he "sssshtumbles" off into the darkness.	With that, he "sssshtumbles" off into the darkness.
"Got any sshhpare change, buddy?"	"Got any sshhpare change, buddy?"
"Al'right. Be that way!"	"Al'right. Be that way!"
Cheezzzz! He makes that dog smell refreshing!	Cheezzzz! He makes that dog smell refreshing!
Please enter number: 	Please enter number: 
You fish a dollar out of your wallet, and hand it to the bum. "Gossshhh thanssskks, buddy," he says sarcastically. "Maybe now I'll be able to afford that tsshhhousand sssshhares of Broderbund ssstock!"	You fish a dollar out of your wallet, and hand it to the bum. "Gossshhh thanssskks, buddy," he says sarcastically. "Maybe now I'll be able to afford that tsshhhousand sssshhares of Broderbund ssstock!"
He looks like a man that could (ab)use a drink.	He looks like a man that could (ab)use a drink.
There's nothing to see on this side of the pole.	There's nothing to see on this side of the pole.
The store is open all night for your convenience. That's why they call it an "all-night convenience store," Larry!	The store is open all night for your convenience. That's why they call it an "all-night convenience store," Larry!
"Why, thanshk, Shonney! Glug, glug."	"Why, thanshk, Shonney! Glug, glug."
All you get is a busy signal.	All you get is a busy signal.
Try dialing the telephone.	Try dialing the telephone.
What's left is illegible.	What's left is illegible.
Try answering the telephone.	Try answering the telephone.
It's not that easy; you'll have to find the correct telephone number yourself!	It's not that easy; you'll have to find the correct telephone number yourself!
Give him the bottle of what?	Give him the bottle of what?
"I'm sorry, but you have reached a number that is disconnected, or no longer in service. Please hang up and dial again."	"I'm sorry, but you have reached a number that is disconnected, or no longer in service. Please hang up and dial again."
"This is a computer."	"This is a computer."
"Hello. Ajax Liquor Store. We deliver!"	"Hello. Ajax Liquor Store. We deliver!"
"So, what do you want to buy?"	"So, what do you want to buy?"
"Fine. Where do you want it delivered?"	"Fine. Where do you want it delivered?"
"Ok. We'll get it right there. Consider it done, and thanks for calling!"	"Ok. We'll get it right there. Consider it done, and thanks for calling!"
"Well, ok. Have ya got any spare wine, then?"	"Well, ok. Have ya got any spare wine, then?"
You find a strong aroma, which you allow him to keep!	You find a strong aroma, which you allow him to keep!
It's not ringing.	It's not ringing.
"Hello."	"Hello."
]	]
"Sorry, by law all we can deliver is wine. Ok, talk to ya again sometime. Bye!"	"Sorry, by law all we can deliver is wine. Ok, talk to ya again sometime. Bye!"
"Ok, I'll take it there, but I doubt if you ever see it! Bye!"	"Ok, I'll take it there, but I doubt if you ever see it! Bye!"
555-8039	555-8039
5558039	5558039
555-6969	555-6969
5556969	5556969
(209) 683-6858	(209) 683-6858
209 683-6858	209 683-6858
2096836858	2096836858
209683-6858	209683-6858
209 6836858	209 6836858
You could see better if you'd walk inside.	You could see better if you'd walk inside.
It IS open.	It IS open.
"Hello," a pleasant voice responds. "Sierra On-Line."	"Hello," a pleasant voice responds. "Sierra On-Line."
"We're not open right now, but if you'd call during business hours (and stop using this pretend telephone), we would be happy to sell you a 'Leisure Suit Larry Hint Book.'"	"We're not open right now, but if you'd call during business hours (and stop using this pretend telephone), we would be happy to sell you a 'Leisure Suit Larry Hint Book.'"
"Written by Al Lowe, the author of Leisure Suit Larry, you know it at least tries to be humorous. The answers are invisible, until you mark them with the special pen provided, so you never have to worry about inadvertently learning something you didn't want to know."	"Written by Al Lowe, the author of Leisure Suit Larry, you know it at least tries to be humorous. The answers are invisible, until you mark them with the special pen provided, so you never have to worry about inadvertently learning something you didn't want to know."
"Thank you for calling Sierra On-Line, and for your purchase of 'Leisure Suit Larry in the Land of the Lounge Lizards.' Good bye."	"Thank you for calling Sierra On-Line, and for your purchase of 'Leisure Suit Larry in the Land of the Lounge Lizards.' Good bye."
Such blatant commercialism turns you on. You make a mental note to purchase one of those great, Al Lowe Hint Books!	Such blatant commercialism turns you on. You make a mental note to purchase one of those great, Al Lowe Hint Books!
You are outside a flashy disco. The bouncer does not look happy.	You are outside a flashy disco. The bouncer does not look happy.
"Either show your membership card, or get lost, Scum-Breath!"	"Either show your membership card, or get lost, Scum-Breath!"
"Good evening, Sir. I'm so sorry I didn't recognize you sooner. Please, come right in!!"	"Good evening, Sir. I'm so sorry I didn't recognize you sooner. Please, come right in!!"
You whip out your "borrowed" membership card, and lay it on him.	You whip out your "borrowed" membership card, and lay it on him.
It seems he's uninterested in idle chit-chat, Larry.	It seems he's uninterested in idle chit-chat, Larry.
You don't have a membership card!	You don't have a membership card!
"We hope you enjoyed your visit tonight, Sir!"	"We hope you enjoyed your visit tonight, Sir!"
"Oh, there's no need to do that, Sir!" says the bouncer.	"Oh, there's no need to do that, Sir!" says the bouncer.
"HALT!!\n\nI'm sorry, Sir," says the bouncer, "but this is a private club."	"HALT!!\n\nI'm sorry, Sir," says the bouncer, "but this is a private club."
He seems glad to see you leave.	He seems glad to see you leave.
He's physically well-developed, but you bet he's not as wise in the ways of women as you are.	He's physically well-developed, but you bet he's not as wise in the ways of women as you are.
Larry! How could you!	Larry! How could you!
You know he'd beat you to a pulp!	You know he'd beat you to a pulp!
Gazing up at the storefronts before you, a feeling comes over you. Surely every one of those windows has a deep, wonderful story hidden behind it. There are millions of stories here in Lost Wages, but you'll never know any of them. Such is the fate of those who are morally-weak, but financially-strong.	Gazing up at the storefronts before you, a feeling comes over you. Surely every one of those windows has a deep, wonderful story hidden behind it. There are millions of stories here in Lost Wages, but you'll never know any of them. Such is the fate of those who are morally-weak, but financially-strong.
(What the hell was that all about????)	(What the hell was that all about????)
Gaudy, aren't they?	Gaudy, aren't they?
He's far too strong for you, Larry.	He's far too strong for you, Larry.
All the stores are locked. But, that disco sure looks inviting.	All the stores are locked. But, that disco sure looks inviting.
"You can only get a card if you already have a card," he laughs, "but then, of course, you wouldn't NEED a card."	"You can only get a card if you already have a card," he laughs, "but then, of course, you wouldn't NEED a card."
"So, beat it, Chump!"	"So, beat it, Chump!"
"How's about a little green sliding across your palm?" you ask the bouncer.	"How's about a little green sliding across your palm?" you ask the bouncer.
"How's about your rear end sliding across the pavement?" he replies.	"How's about your rear end sliding across the pavement?" he replies.
Why does the dog use you, and not it?	Why does the dog use you, and not it?
The disco is filled with remarkably similar guys, all looking for girls.	The disco is filled with remarkably similar guys, all looking for girls.
Don't mess around, Larry. Get out there and dance with her!	Don't mess around, Larry. Get out there and dance with her!
Perhaps they're waiting for Fawn to return.	Perhaps they're waiting for Fawn to return.
Not now, you're busy.	Not now, you're busy.
"Come on, Larry. What are you waiting for? I'm hot to get it on with you!"	"Come on, Larry. What are you waiting for? I'm hot to get it on with you!"
(What are you into this time, Larry?)	(What are you into this time, Larry?)
"Either give me some money, or I'll leave without you."	"Either give me some money, or I'll leave without you."
"That's it! See ya later, chump!"	"That's it! See ya later, chump!"
You smile at the girl and say, "May I join you?"	You smile at the girl and say, "May I join you?"
And, of course she replies, "Why, am I coming apart?"	And, of course she replies, "Why, am I coming apart?"
(Drum fill)	(Drum fill)
The dance floor is lit from below with brightly colored lights. It is presently unused.	The dance floor is lit from below with brightly colored lights. It is presently unused.
Evidently every guy here has been turned down by the only girl in the place. Her beauty has them frozen in their tracks.	Evidently every guy here has been turned down by the only girl in the place. Her beauty has them frozen in their tracks.
There isn't one. This place is run by computer. (Besides, at this time of night DJ should be home with Chris.)	There isn't one. This place is run by computer. (Besides, at this time of night DJ should be home with Chris.)
Perhaps you should sit with her first.	Perhaps you should sit with her first.
She might listen to you, if you can establish eye contact.	She might listen to you, if you can establish eye contact.
"Oooh, you're so sweet. I just love 	"Oooh, you're so sweet. I just love 
Sitting here brings back fond memories of those minutes you spent with Fawn.	Sitting here brings back fond memories of those minutes you spent with Fawn.
Your heart just isn't in it.	Your heart just isn't in it.
You miss her, don't you?	You miss her, don't you?
Gosh, Larry. Maybe you should have loaned her some money!	Gosh, Larry. Maybe you should have loaned her some money!
Funny, this is a dry club.	Funny, this is a dry club.
"Not again. That trip through the ceiling gave me a headache!"	"Not again. That trip through the ceiling gave me a headache!"
You're being a little too direct again, Larry.	You're being a little too direct again, Larry.
There's a gorgeous blond sitting at the table, and she's all alone!	There's a gorgeous blond sitting at the table, and she's all alone!
You can't sit there; she would think you rude to take her chair.	You can't sit there; she would think you rude to take her chair.
They seem to be staring at something they all want.	They seem to be staring at something they all want.
You can't sit there; she would think you rude to sit on top of her.	You can't sit there; she would think you rude to sit on top of her.
What a knock-out! She has bright blue eyes, and a dazzling smile. Your eyes roam her body, and what you see, you like. She's sensational!!	What a knock-out! She has bright blue eyes, and a dazzling smile. Your eyes roam her body, and what you see, you like. She's sensational!!
Larry, this MUST be love!	Larry, this MUST be love!
"Please," she says coyly, "stop staring there."	"Please," she says coyly, "stop staring there."
%m52dancing. I thought you'd never ask! Come on!!"	%m52dancing. I thought you'd never ask! Come on!!"
%m52roses."	%m52roses."
%m52candy."	%m52candy."
%m52diamonds."	%m52diamonds."
It appears Fawn has caught you a "little short," Larry. Better try the casino, and hope for a run of good luck!	It appears Fawn has caught you a "little short," Larry. Better try the casino, and hope for a run of good luck!
"Well, really. I'm not that kind of girl!!"	"Well, really. I'm not that kind of girl!!"
%m52money."	%m52money."
"Thanks, Larry. You won't regret this. Meet me at the Marriage Chapel near the Casino in a few minutes. I'll get us a room. Hurry, Larry, I can hardly wait!"	"Thanks, Larry. You won't regret this. Meet me at the Marriage Chapel near the Casino in a few minutes. I'll get us a room. Hurry, Larry, I can hardly wait!"
"Oooh, you're so sweet. I just LOVE you! Larry, I want you to make wild, passionate love to me!"	"Oooh, you're so sweet. I just LOVE you! Larry, I want you to make wild, passionate love to me!"
(All right, Larry. At last, you're gonna get lucky!!)	(All right, Larry. At last, you're gonna get lucky!!)
She continues, "But first, we must get married. I could never make love to a man not my husband. If you would loan me a hundred dollars, I'd rent the Honeymoon Suite at the Casino Hotel for us. Then, after we're married, we'll celebrate there."	She continues, "But first, we must get married. I could never make love to a man not my husband. If you would loan me a hundred dollars, I'd rent the Honeymoon Suite at the Casino Hotel for us. Then, after we're married, we'll celebrate there."
"You seem like a sweet, old-fashioned kind of guy," she says with a beautiful smile.	"You seem like a sweet, old-fashioned kind of guy," she says with a beautiful smile.
"What! At a time like this?!"	"What! At a time like this?!"
"Hi ya, Baby. What say you and me get it on?"	"Hi ya, Baby. What say you and me get it on?"
Those beautiful eyes tell you this doll requires more than your usual smooth talk.	Those beautiful eyes tell you this doll requires more than your usual smooth talk.
"Bad breath's one thing, Larry, but you could knock a buzzard off a manure truck!!"	"Bad breath's one thing, Larry, but you could knock a buzzard off a manure truck!!"
She smiles and says, "I'm just a girl who can't say no...	She smiles and says, "I'm just a girl who can't say no...
(All right, Larry; this is what you've been waiting for!)	(All right, Larry; this is what you've been waiting for!)
"...to nice presents," she concludes.	"...to nice presents," she concludes.
Her hair is beautiful, not thinning like some people we know.	Her hair is beautiful, not thinning like some people we know.
"So what?"	"So what?"
Her lips are moist and inviting, but remember that you also thought that about old Mrs. Bradley, your homeroom teacher!	Her lips are moist and inviting, but remember that you also thought that about old Mrs. Bradley, your homeroom teacher!
"What's your name, beautiful?" you ask.	"What's your name, beautiful?" you ask.
"Fawn," she replies.	"Fawn," she replies.
Somehow you knew that.	Somehow you knew that.
"I'm sorry, but I'll need at least a hundred dollars," she says with a coy smile.	"I'm sorry, but I'll need at least a hundred dollars," she says with a coy smile.
You fervently hope she'll wait for your return.	You fervently hope she'll wait for your return.
Conveniently, she offers, "I'll wait right here until you return."	Conveniently, she offers, "I'll wait right here until you return."
I AM the marrying type, but you must convince me.	I AM the marrying type, but you must convince me.
"How nice," she says, "I love me, too."	"How nice," she says, "I love me, too."
"Say, Larry," she chuckles, glancing downward, "is that a pez dispenser in your pocket, or are you just lonely?"	"Say, Larry," she chuckles, glancing downward, "is that a pez dispenser in your pocket, or are you just lonely?"
"Perhaps we shall," she replies, "if you play your cards right!"	"Perhaps we shall," she replies, "if you play your cards right!"
"Get lost, creep."	"Get lost, creep."
"Hey, sweetheart. What's your sign?" you ask her.	"Hey, sweetheart. What's your sign?" you ask her.
"Octagonal," she replies. "Like in 'STOP!'"	"Octagonal," she replies. "Like in 'STOP!'"
"My name is Larry," you offer. "Larry Laffer."	"My name is Larry," you offer. "Larry Laffer."
"I'd really like to get to know you better," you say. "What kind of girl are you, anyway?"	"I'd really like to get to know you better," you say. "What kind of girl are you, anyway?"
(Oops.)	(Oops.)
"So, how about it, Larry?" Fawn says in her petite voice. "May I have a measly hundred bucks, or not?"	"So, how about it, Larry?" Fawn says in her petite voice. "May I have a measly hundred bucks, or not?"
SLAP!\n\nSLAP!!	SLAP!\n\nSLAP!!
"Uh, gosh, Fawn," you mumble. "I've only got %v90 bucks on me!"	"Uh, gosh, Fawn," you mumble. "I've only got %v90 bucks on me!"
Gee, Larry, this is working out swell.	Gee, Larry, this is working out swell.
You are in the casino. There are slot machines to the right, and blackjack tables to the left. This place is a gambler's paradise!	You are in the casino. There are slot machines to the right, and blackjack tables to the left. This place is a gambler's paradise!
The front blackjack table is presently unoccupied.	The front blackjack table is presently unoccupied.
The rear blackjack table is rather busy now. Try the front table.	The rear blackjack table is rather busy now. Try the front table.
Move to an unoccupied slot machine first.	Move to an unoccupied slot machine first.
At least one person appears to be winning at the slot machines. Perhaps you could too.	At least one person appears to be winning at the slot machines. Perhaps you could too.
They appear to be having a great time. Perhaps you'd like to join them?	They appear to be having a great time. Perhaps you'd like to join them?
Move to a slot machine and put in some money. Or, find an empty blackjack table and sit down.	Move to a slot machine and put in some money. Or, find an empty blackjack table and sit down.
You could, if you'd sit down first.	You could, if you'd sit down first.
Don't interrupt them; they're trying to win.	Don't interrupt them; they're trying to win.
Casino dealers are notoriously silent.	Casino dealers are notoriously silent.
It's a casino!	It's a casino!
"Hello, sir. Would you help out a poor unfortunate by purchasing an apple?"	"Hello, sir. Would you help out a poor unfortunate by purchasing an apple?"
"The price is reasonable: only $1.00."	"The price is reasonable: only $1.00."
"I take that as a 'No,'" he says pleasantly. "Very well then, perhaps some other time."	"I take that as a 'No,'" he says pleasantly. "Very well then, perhaps some other time."
He's yet another poor soul who donated his everything so the shrine of Lost Wages could continue to flourish.	He's yet another poor soul who donated his everything so the shrine of Lost Wages could continue to flourish.
"My pleasure was always the slot machines," he says. "Say, are we going to stand here and chitchat all night, or am I going to make a sale?"	"My pleasure was always the slot machines," he says. "Say, are we going to stand here and chitchat all night, or am I going to make a sale?"
"Why, Steve. Nice of you to ask," he responds.	"Why, Steve. Nice of you to ask," he responds.
"Well, my friends call me 'Woz,' but I don't consider you a friend."	"Well, my friends call me 'Woz,' but I don't consider you a friend."
"Thank you very much, sir. Please call again, whenever you are in the neighborhood," says the man. And with that, he walks away into the night.	"Thank you very much, sir. Please call again, whenever you are in the neighborhood," says the man. And with that, he walks away into the night.
"Hey, come back!" says the man. "Are you sure you don't want to buy an apple?"	"Hey, come back!" says the man. "Are you sure you don't want to buy an apple?"
"You know," says the man, peering deep into his barrel, "I'm all out! But thank you for your continued interest."	"You know," says the man, peering deep into his barrel, "I'm all out! But thank you for your continued interest."
"Ok, be that way!" he says, and disappears into the night.	"Ok, be that way!" he says, and disappears into the night.
"Oh no, you don't!" exclaims the man.	"Oh no, you don't!" exclaims the man.
"Say, you really did lose everything," you tell the man.	"Say, you really did lose everything," you tell the man.
They are nicely manicured, but of no help to you.	They are nicely manicured, but of no help to you.
They're automatic. Get closer.	They're automatic. Get closer.
Pretty flashy, eh?	Pretty flashy, eh?
"Apples. Apples! APPLES for sale!!"	"Apples. Apples! APPLES for sale!!"
"Thanks a lot. See you later, pal."	"Thanks a lot. See you later, pal."
Isn't it wonderful what can be done with a few light bulbs?	Isn't it wonderful what can be done with a few light bulbs?
You are outside a romantic, quickie marriage parlor.	You are outside a romantic, quickie marriage parlor.
It's a door. Try opening it.	It's a door. Try opening it.
It's a guy wearing a trench coat.	It's a guy wearing a trench coat.
It's obvious he doesn't have much to hide!	It's obvious he doesn't have much to hide!
You greet the stranger in the trench coat.	You greet the stranger in the trench coat.
"Hey, sonny! Come over here!!" he replies.	"Hey, sonny! Come over here!!" he replies.
"Say," you ask him. "By any chance, is your name Shorty?"	"Say," you ask him. "By any chance, is your name Shorty?"
You have better things to do than mess around with this pervert.	You have better things to do than mess around with this pervert.
It's there to keep you from going that way!	It's there to keep you from going that way!
Strange, you think.	Strange, you think.
He doesn't reply.	He doesn't reply.
You are in a quickie marriage parlor. A flashing neon sign on the rear wall asks: "Why wait? Marry the girl of your dreams, today! You provide the girl, we'll do the rest for only $100!!"	You are in a quickie marriage parlor. A flashing neon sign on the rear wall asks: "Why wait? Marry the girl of your dreams, today! You provide the girl, we'll do the rest for only $100!!"
Fawn is waiting for you at the altar. Go for it, Larry!	Fawn is waiting for you at the altar. Go for it, Larry!
The minister intones in his basso voice...	The minister intones in his basso voice...
"Dearly beloved, we are gathered together today in the sight of, er, ah, um... each other, to enter these two people into the eternal bonds of marriage."	"Dearly beloved, we are gathered together today in the sight of, er, ah, um... each other, to enter these two people into the eternal bonds of marriage."
"But before we really get rollin', I'd like to say a few words.\n\nMany's the marriage that I've performed here, in this little chapel, wearing this cheap suit, before those shiny plastic-covered pews, with these electric candles, looking at those genuine plexiglas stained-glass windows, for these measly few bucks..."	"But before we really get rollin', I'd like to say a few words.\n\nMany's the marriage that I've performed here, in this little chapel, wearing this cheap suit, before those shiny plastic-covered pews, with these electric candles, looking at those genuine plexiglas stained-glass windows, for these measly few bucks..."
(He pauses for another nip from his pocket flask.)	(He pauses for another nip from his pocket flask.)
"Where was I?" he hiccups.	"Where was I?" he hiccups.
"Digressing," you answer.	"Digressing," you answer.
"Oh, well, have you got a ring?" he asks.	"Oh, well, have you got a ring?" he asks.
"Yep," you reply. "She's wearing it."	"Yep," you reply. "She's wearing it."
"Good enough for me! Have you got a hundred bucks?"	"Good enough for me! Have you got a hundred bucks?"
"Of course," you reply, forking over your dough.	"Of course," you reply, forking over your dough.
"Not me," you reply. "I thought this was a temple of love!"	"Not me," you reply. "I thought this was a temple of love!"
"Sorry, buddy, you two are SOL until you can come back here with 100 cold, hard ones!" he says indignantly, as he pushes between you and heads for the door.	"Sorry, buddy, you two are SOL until you can come back here with 100 cold, hard ones!" he says indignantly, as he pushes between you and heads for the door.
Well, Larry, it looks like you're going to have to leave your new bride waiting at the altar, while you generate a little positive cash flow!	Well, Larry, it looks like you're going to have to leave your new bride waiting at the altar, while you generate a little positive cash flow!
As you leave, she says, "Hurry back, Larry, I don't know how long I can wait before I have you!"	As you leave, she says, "Hurry back, Larry, I don't know how long I can wait before I have you!"
"By the way, Larry," she asks. "What does SOL stand for?"	"By the way, Larry," she asks. "What does SOL stand for?"
"Why, Sierra On-Line, I presume!" you respond.	"Why, Sierra On-Line, I presume!" you respond.
"Wait here, Fawn baby! I'll be back in a flash!!"	"Wait here, Fawn baby! I'll be back in a flash!!"
"Ok, close enough. I now pronounce you man and wife, till death do you part, or until you get tired of each other, per the currently acceptable social standards!"	"Ok, close enough. I now pronounce you man and wife, till death do you part, or until you get tired of each other, per the currently acceptable social standards!"
"You may kiss the bride," he says, scurrying out the door to refill his flask.	"You may kiss the bride," he says, scurrying out the door to refill his flask.
"Not now; that can wait," Fawn says with a smile. "I'll meet you at the Casino Hotel's honeymoon suite, and give you a lot more than kisses, my big, strong, handsome sweetheart!!"	"Not now; that can wait," Fawn says with a smile. "I'll meet you at the Casino Hotel's honeymoon suite, and give you a lot more than kisses, my big, strong, handsome sweetheart!!"
"Hey!" you shout, "Wait for me!!"	"Hey!" you shout, "Wait for me!!"
Somehow this entire ceremony was less than you expected. The sacred bonds of marriage certainly get tied loosely in this joint!	Somehow this entire ceremony was less than you expected. The sacred bonds of marriage certainly get tied loosely in this joint!
It's customary to position yourself to the bride's right.	It's customary to position yourself to the bride's right.
"So... shall we try again?"	"So... shall we try again?"
You can't see through the "stained glass" windows. They're fake, like everything else about this place.	You can't see through the "stained glass" windows. They're fake, like everything else about this place.
Seems like everything here is covered in plastic.	Seems like everything here is covered in plastic.
The plastic covers are so slick, you'd probably slide right off.	The plastic covers are so slick, you'd probably slide right off.
Perhaps you should find a mate, mate!	Perhaps you should find a mate, mate!
You can barely tell they're made from pressed sawdust.	You can barely tell they're made from pressed sawdust.
Who'd want them?	Who'd want them?
He looks a lot like his brother, the bad comedian in the Lizard Lounge.	He looks a lot like his brother, the bad comedian in the Lizard Lounge.
"Make up your mind, son. Time is money!"	"Make up your mind, son. Time is money!"
"Don't stand around talking, Larry," says Fawn. "Let's get married!!"	"Don't stand around talking, Larry," says Fawn. "Let's get married!!"
What an old romantic!	What an old romantic!
You wonder why Michelangelo didn't use dropped fluorescents on his big ceiling job.	You wonder why Michelangelo didn't use dropped fluorescents on his big ceiling job.
It's not your birthday!	It's not your birthday!
The entrance to the Cabaret Lounge is to the right, by the telephone. A glass elevator awaits you. An ashtray is in front of the planter.	The entrance to the Cabaret Lounge is to the right, by the telephone. A glass elevator awaits you. An ashtray is in front of the planter.
You are inside the glass elevator. Your favorite kind of music is playing. You hum along, insipidly.	You are inside the glass elevator. Your favorite kind of music is playing. You hum along, insipidly.
There are buttons labeled "one" through "eight."	There are buttons labeled "one" through "eight."
Type a word, like "one" or "two."	Type a word, like "one" or "two."
You know, the people on those plants look like ants from up here.	You know, the people on those plants look like ants from up here.
"strangers in the night, da da da dee da..."	"strangers in the night, da da da dee da..."
Those ARE ants, you fool; we haven't left the ground yet!	Those ARE ants, you fool; we haven't left the ground yet!
Wasn't that a fast ride!	Wasn't that a fast ride!
They're of your favorite species: polyvinyl chloride. There is an ashtray in front of the planter.	They're of your favorite species: polyvinyl chloride. There is an ashtray in front of the planter.
You carefully remove the card from the cancerous remains in the ashtray. It's a valid pass to the disco!	You carefully remove the card from the cancerous remains in the ashtray. It's a valid pass to the disco!
There's some kind of card in the ashtray.	There's some kind of card in the ashtray.
Where?	Where?
The doors close whenever you choose a floor.	The doors close whenever you choose a floor.
Go inside and push a button.	Go inside and push a button.
It's of no interest.	It's of no interest.
The ashtray is of no further interest since you have the card.	The ashtray is of no further interest since you have the card.
All the pages are torn out.	All the pages are torn out.
Somebody filled the coin slot with chewing gum.	Somebody filled the coin slot with chewing gum.
You can't. It's so firmly embedded, nothing will get it out. You'll just have to find another telephone.	You can't. It's so firmly embedded, nothing will get it out. You'll just have to find another telephone.
This looks like a great place to be from.	This looks like a great place to be from.
(You wonder where they keep the lizards.)	(You wonder where they keep the lizards.)
You can't. The card on the table says "Reserved."	You can't. The card on the table says "Reserved."
Looks like you won't have any trouble getting a seat tonight!	Looks like you won't have any trouble getting a seat tonight!
You wonder who invented that little plastic net surrounding the glass.	You wonder who invented that little plastic net surrounding the glass.
And, how come it doesn't melt?	And, how come it doesn't melt?
Evidently, HE thinks he's funny!	Evidently, HE thinks he's funny!
Wouldn't you think they'd get tired of just going left and right?	Wouldn't you think they'd get tired of just going left and right?
You think they look like men?	You think they look like men?
Do you know something about his sexual habits that the rest of us don't?	Do you know something about his sexual habits that the rest of us don't?
You shout to the comedian, "This ain't funny!"	You shout to the comedian, "This ain't funny!"
The comedian retorts, "But you are!!"	The comedian retorts, "But you are!!"
The Lizard Lounge.	The Lizard Lounge.
You're not seated.	You're not seated.
There's no one to take your order.	There's no one to take your order.
It's a living.	It's a living.
You whistle loudly at the comic.	You whistle loudly at the comic.
"Hey, buddy, will ya hold it down?" says the comic. "I'm tryin' to earn a living up here!"	"Hey, buddy, will ya hold it down?" says the comic. "I'm tryin' to earn a living up here!"
"Whaddsa' matter, folks? Am I keeping you up?"	"Whaddsa' matter, folks? Am I keeping you up?"
"You know, folks, it just don't get much better than this!"	"You know, folks, it just don't get much better than this!"
"Waddaya out there, a painting?"	"Waddaya out there, a painting?"
"Tough crowd. Tough crowd."	"Tough crowd. Tough crowd."
"I shoulda never given up my day gig!"	"I shoulda never given up my day gig!"
"Waddaya waitin' for folks? This IS the 'A' stuff!"	"Waddaya waitin' for folks? This IS the 'A' stuff!"
"I just flew in from Coarsegold..."	"I just flew in from Coarsegold..."
"...and, boy, are my arms tired!"	"...and, boy, are my arms tired!"
"I told my doctor my sex life was boring. He said 'You need to add the element of surprise. Go right home this afternoon, grab your wife, and immediately make love to her, no matter what she's doing.' So I did!"	"I told my doctor my sex life was boring. He said 'You need to add the element of surprise. Go right home this afternoon, grab your wife, and immediately make love to her, no matter what she's doing.' So I did!"
"It was still the same old boring stuff; but her bridge club got a tremendous kick out of it!!"	"It was still the same old boring stuff; but her bridge club got a tremendous kick out of it!!"
"You know how I can tell when my wife has an orgasm?"	"You know how I can tell when my wife has an orgasm?"
"She drops her nail file!!"	"She drops her nail file!!"
"My wife is so ugly..."	"My wife is so ugly..."
